country,n_pairs,n_duplicates,n_non_duplicates,TP,FP,TN,FN,FPR,FNR
PL,1014,519,495,519,0,495,0,0.0,0.0
RO,508,227,281,227,0,281,0,0.0,0.0
FR,451,151,300,150,0,300,1,0.0,0.0066
DE,388,180,208,180,1,207,0,0.0048,0.0
ES,273,136,137,136,0,137,0,0.0,0.0
CZ,203,117,86,117,0,86,0,0.0,0.0
IT,139,73,66,72,0,66,1,0.0,0.0137
BG,138,83,55,83,0,55,0,0.0,0.0
LV,105,58,47,58,0,47,0,0.0,0.0
LT,93,54,39,54,0,39,0,0.0,0.0
SE,86,49,37,49,0,37,0,0.0,0.0
HU,75,45,30,45,0,30,0,0.0,0.0
SI,63,45,18,45,0,18,0,0.0,0.0
HR,61,42,19,42,0,19,0,0.0,0.0
GR,51,30,21,30,0,21,0,0.0,0.0
PT,49,32,17,32,0,17,0,0.0,0.0
DK,48,26,22,26,0,22,0,0.0,0.0
FI,47,21,26,21,0,26,0,0.0,0.0
NL,40,24,16,24,0,16,0,0.0,0.0
SK,30,20,10,20,0,10,0,0.0,0.0
